benchmark,solver,score
benchmarks/smt-lib/non-incremental/NRA/keymaera/vsl.proof-node1748.smt2,vampire-4.4-smtcomp-wrapped-sq,0.107275
benchmarks/smt-lib/non-incremental/NRA/keymaera/vsl.proof-node1748.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,0.58534
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node31529.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,0.0223969
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node31529.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node31529.smt2,UltimateEliminator+Yices-2.6.1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node31529.smt2,vampire-4.4-smtcomp-wrapped-sq,0.23146
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node31529.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,0.190853
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node46858.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,0.700422
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node46858.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node46858.smt2,UltimateEliminator+Yices-2.6.1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node46858.smt2,vampire-4.4-smtcomp-wrapped-sq,0.185971
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node46858.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,2.69611
benchmarks/smt-lib/non-incremental/NRA/keymaera/ETCS-essentials-live2.proof-node640.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/ETCS-essentials-live2.proof-node640.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/ETCS-essentials-live2.proof-node640.smt2,UltimateEliminator+Yices-2.6.1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/ETCS-essentials-live2.proof-node640.smt2,vampire-4.4-smtcomp-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/ETCS-essentials-live2.proof-node640.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,0.0371609
benchmarks/smt-lib/non-incremental/NRA/keymaera/bouncing-ball-inv-node6638.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,0.022278
benchmarks/smt-lib/non-incremental/NRA/keymaera/bouncing-ball-inv-node6638.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/bouncing-ball-inv-node6638.smt2,UltimateEliminator+Yices-2.6.1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/bouncing-ball-inv-node6638.smt2,vampire-4.4-smtcomp-wrapped-sq,0.789285
benchmarks/smt-lib/non-incremental/NRA/keymaera/bouncing-ball-inv-node6638.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,0.0719979
benchmarks/smt-lib/non-incremental/NRA/keymaera/FTRM-entry-tang-feasible-node1796.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,0.019019
benchmarks/smt-lib/non-incremental/NRA/keymaera/FTRM-entry-tang-feasible-node1796.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,2.38698
benchmarks/smt-lib/non-incremental/NRA/keymaera/FTRM-entry-tang-feasible-node1796.smt2,UltimateEliminator+Yices-2.6.1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/FTRM-entry-tang-feasible-node1796.smt2,vampire-4.4-smtcomp-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/FTRM-entry-tang-feasible-node1796.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,0.0421301
benchmarks/smt-lib/non-incremental/NRA/keymaera/controllability-lemma-disturbed-node5255.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/controllability-lemma-disturbed-node5255.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
