benchmark,solver,score
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_22.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_22.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_9.smt2,Boolector-wrapped-sq,0.566242
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_9.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,1109.37
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_9.smt2,Poolector-wrapped-sq,6.0575
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_9.smt2,Q3B-wrapped-sq,62.6533
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_9.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_9.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_47.smt2,Boolector-wrapped-sq,566.033
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_47.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,0.0213201
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_47.smt2,Poolector-wrapped-sq,58.1918
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_47.smt2,Q3B-wrapped-sq,0.023041
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_47.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_47.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,0.0387649
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_26.smt2,Boolector-wrapped-sq,0.110614
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_26.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,1.19761
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_26.smt2,Poolector-wrapped-sq,0.180768
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_26.smt2,Q3B-wrapped-sq,1.18449
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_26.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_26.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,0.090834
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_14.smt2,Boolector-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_14.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_14.smt2,Poolector-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_14.smt2,Q3B-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_14.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_14.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_44.smt2,Boolector-wrapped-sq,2.19801
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_44.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_44.smt2,Poolector-wrapped-sq,1.34106
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_44.smt2,Q3B-wrapped-sq,19.6024
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_44.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_44.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,938.227
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_25.smt2,Boolector-wrapped-sq,0.781101
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_25.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,8.70273
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_25.smt2,Poolector-wrapped-sq,0.995228
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_25.smt2,Q3B-wrapped-sq,0.919762
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_25.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_25.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,0.1769
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_59.smt2,Boolector-wrapped-sq,55.372
