benchmark,solver,score
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_bmc10.smt2,Yices 2.6.2 for SMTCOMP2020,2.01581
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_bmc10.smt2,MathSAT5,8.23772
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_bmc20.smt2,CVC4-sq-final,553.723
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_bmc20.smt2,z3-4.8.8,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_bmc20.smt2,Bitwuzla,4.08017
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_bmc20.smt2,Yices 2.6.2 for SMTCOMP2020,130.368
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_bmc20.smt2,MathSAT5,523.638
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_bmc15.smt2,CVC4-sq-final,131.658
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_bmc15.smt2,z3-4.8.8,783.183
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_bmc15.smt2,Bitwuzla,2.07353
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_bmc15.smt2,Yices 2.6.2 for SMTCOMP2020,27.0679
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_bmc15.smt2,MathSAT5,117.622
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_mult_bmc25.smt2,CVC4-sq-final,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_mult_bmc25.smt2,z3-4.8.8,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_mult_bmc25.smt2,Bitwuzla,12.3879
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_mult_bmc25.smt2,Yices 2.6.2 for SMTCOMP2020,514.718
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_mult_bmc25.smt2,MathSAT5,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_bmc30.smt2,CVC4-sq-final,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_bmc30.smt2,z3-4.8.8,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_bmc30.smt2,Bitwuzla,10.8196
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_bmc30.smt2,Yices 2.6.2 for SMTCOMP2020,1106.21
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_bmc30.smt2,MathSAT5,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_bmc10.smt2,CVC4-sq-final,30.7276
